Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0002000000000,,Second,Volt,Volt
,,,-2.98060000000,0.92000,-0.08000
,,,-2.98039975000,0.92000,-0.08000
,,,-2.98019975000,0.92000,-0.08000
,,,-2.98000000000,0.96000,-0.08000
,,,-2.97980000000,0.92000,-0.08000
,,,-2.97960000000,0.92000,-0.08000
,,,-2.97940000000,0.96000,-0.08000
,,,-2.97920000000,0.92000,-0.08000
,,,-2.97899975000,0.92000,-0.08000
,,,-2.97879975000,0.96000,-0.08000
,,,-2.97860000000,0.96000,-0.08000
,,,-2.97840000000,0.92000,-0.08000
,,,-2.97820000000,0.96000,-0.04000
,,,-2.97800000000,0.96000,-0.08000
,,,-2.97780000000,0.96000,-0.08000
,,,-2.97759975000,0.96000,-0.08000
,,,-2.97739975000,0.92000,-0.08000
,,,-2.97720000000,0.96000,-0.08000
,,,-2.97700000000,0.92000,-0.08000
,,,-2.97680000000,0.96000,-0.08000
,,,-2.97660000000,0.92000,-0.08000
,,,-2.97640000000,0.96000,-0.12000
,,,-2.97619975000,0.92000,-0.08000
,,,-2.97599975000,0.96000,-0.08000
,,,-2.97580000000,0.96000,-0.08000
,,,-2.97560000000,0.96000,-0.08000
,,,-2.97540000000,0.92000,-0.08000
,,,-2.97520000000,0.96000,-0.08000
,,,-2.97500000000,0.92000,-0.08000
,,,-2.97479975000,0.96000,-0.12000
,,,-2.97459975000,0.96000,-0.04000
,,,-2.97440000000,0.92000,-0.12000
,,,-2.97420000000,0.96000,-0.08000
,,,-2.97400000000,0.92000,-0.08000
,,,-2.97380000000,0.92000,-0.04000
,,,-2.97360000000,0.92000,-0.04000
,,,-2.97340000000,0.92000,-0.08000
,,,-2.97319975000,0.92000,-0.08000
,,,-2.97299975000,0.92000,-0.08000
,,,-2.97280000000,0.96000,-0.08000
,,,-2.97260000000,0.92000,-0.08000
,,,-2.97240000000,0.96000,-0.08000
,,,-2.97220000000,0.96000,-0.08000
,,,-2.97200000000,0.96000,-0.08000
,,,-2.97179975000,0.96000,-0.04000
,,,-2.97159975000,0.96000,-0.08000
,,,-2.97140000000,0.96000,-0.08000
,,,-2.97120000000,0.96000,-0.08000
,,,-2.97100000000,0.96000,-0.04000
,,,-2.97080000000,0.96000,-0.08000
,,,-2.97060000000,0.92000,-0.08000
,,,-2.97039975000,0.96000,-0.08000
,,,-2.97019975000,0.96000,-0.04000
,,,-2.97000000000,0.92000,-0.04000
,,,-2.96980000000,0.96000,-0.08000
,,,-2.96960000000,0.96000,-0.08000
,,,-2.96940000000,0.92000,-0.08000
,,,-2.96920000000,0.96000,-0.08000
,,,-2.96899975000,0.96000,-0.08000
,,,-2.96879975000,0.92000,-0.08000
,,,-2.96860000000,0.96000,-0.08000
,,,-2.96840000000,0.96000,-0.08000
,,,-2.96820000000,0.92000,-0.08000
,,,-2.96800000000,0.92000,-0.08000
,,,-2.96780000000,0.96000,-0.12000
,,,-2.96759975000,0.92000,-0.08000
,,,-2.96739975000,0.96000,-0.08000
,,,-2.96720000000,0.92000,-0.04000
,,,-2.96700000000,0.92000,-0.12000
,,,-2.96680000000,0.96000,-0.08000
,,,-2.96660000000,0.96000,-0.04000
,,,-2.96640000000,0.96000,-0.04000
,,,-2.96619975000,0.96000,-0.08000
,,,-2.96599975000,0.96000,-0.08000
,,,-2.96579975000,0.92000,-0.04000
,,,-2.96560000000,0.96000,-0.08000
,,,-2.96540000000,0.96000,-0.08000
,,,-2.96520000000,0.92000,-0.04000
,,,-2.96500000000,0.92000,-0.08000
,,,-2.96480000000,0.92000,-0.08000
,,,-2.96459975000,0.96000,-0.08000
,,,-2.96439975000,0.92000,-0.08000
,,,-2.96420000000,0.92000,-0.04000
,,,-2.96400000000,0.96000,-0.08000
,,,-2.96380000000,0.96000,-0.08000
,,,-2.96360000000,0.96000,-0.08000
,,,-2.96340000000,0.92000,-0.08000
,,,-2.96319975000,0.96000,-0.08000
,,,-2.96299975000,0.96000,-0.08000
,,,-2.96280000000,0.92000,-0.08000
,,,-2.96260000000,0.96000,-0.08000
,,,-2.96240000000,0.96000,-0.08000
,,,-2.96220000000,0.92000,-0.08000
,,,-2.96200000000,0.92000,-0.04000
,,,-2.96179975000,0.92000,-0.08000
,,,-2.96159975000,0.92000,-0.08000
,,,-2.96140000000,0.92000,-0.08000
,,,-2.96120000000,0.92000,-0.08000
,,,-2.96100000000,0.96000,-0.04000
,,,-2.96080000000,0.96000,-0.04000
,,,-2.96060000000,0.96000,-0.04000
,,,-2.96039975000,0.96000,-0.04000
,,,-2.96019975000,0.96000,-0.04000
,,,-2.96000000000,0.96000,-0.08000
,,,-2.95980000000,0.92000,-0.08000
,,,-2.95960000000,0.96000,-0.04000
,,,-2.95940000000,0.96000,-0.08000
,,,-2.95920000000,0.96000,-0.08000
,,,-2.95899975000,0.92000,-0.08000
,,,-2.95879975000,0.92000,-0.08000
,,,-2.95860000000,0.96000,-0.08000
,,,-2.95840000000,0.96000,-0.08000
,,,-2.95820000000,0.96000,-0.04000
,,,-2.95800000000,0.96000,-0.08000
,,,-2.95780000000,0.92000,-0.08000
,,,-2.95760000000,0.92000,-0.08000
,,,-2.95739975000,0.92000,-0.08000
,,,-2.95719975000,0.96000,-0.08000
,,,-2.95700000000,0.92000,-0.08000
,,,-2.95680000000,0.96000,-0.04000
,,,-2.95660000000,0.96000,-0.08000
,,,-2.95640000000,0.92000,-0.08000
,,,-2.95620000000,0.96000,-0.08000
,,,-2.95599975000,0.92000,-0.04000
,,,-2.95579975000,0.96000,-0.08000
,,,-2.95560000000,0.96000,-0.08000
,,,-2.95540000000,0.96000,-0.08000
,,,-2.95520000000,0.96000,-0.08000
,,,-2.95500000000,0.96000,-0.08000
,,,-2.95480000000,0.96000,-0.08000
,,,-2.95459975000,0.96000,-0.08000
,,,-2.95439975000,0.96000,-0.08000
,,,-2.95420000000,0.96000,-0.04000
,,,-2.95400000000,0.96000,-0.04000
,,,-2.95380000000,0.96000,-0.04000
,,,-2.95360000000,0.96000,-0.08000
,,,-2.95340000000,0.96000,-0.08000
,,,-2.95319975000,0.96000,-0.08000
,,,-2.95299975000,0.96000,-0.08000
,,,-2.95280000000,0.96000,-0.08000
,,,-2.95260000000,0.96000,-0.08000
,,,-2.95240000000,0.96000,-0.08000
,,,-2.95220000000,0.92000,-0.08000
,,,-2.95200000000,0.96000,-0.04000
,,,-2.95179975000,0.92000,-0.08000
,,,-2.95159975000,0.96000,-0.08000
,,,-2.95140000000,0.96000,-0.08000
,,,-2.95120000000,0.92000,-0.08000
,,,-2.95100000000,0.96000,-0.08000
,,,-2.95080000000,0.96000,-0.08000
,,,-2.95060000000,0.96000,-0.08000
,,,-2.95040000000,0.96000,-0.08000
,,,-2.95019975000,0.92000,-0.04000
,,,-2.94999975000,0.92000,-0.04000
,,,-2.94980000000,0.92000,-0.08000
,,,-2.94960000000,0.92000,-0.04000
,,,-2.94940000000,0.92000,-0.08000
,,,-2.94920000000,0.96000,-0.08000
,,,-2.94900000000,0.92000,-0.08000
,,,-2.94879975000,0.96000,-0.08000
,,,-2.94859975000,0.92000,-0.08000
,,,-2.94840000000,0.92000,-0.08000
,,,-2.94820000000,0.96000,-0.08000
,,,-2.94800000000,0.92000,-0.08000
,,,-2.94780000000,0.92000,-0.08000
,,,-2.94760000000,0.96000,-0.08000
,,,-2.94739975000,0.92000,-0.08000
,,,-2.94719975000,0.92000,-0.04000
,,,-2.94700000000,0.96000,-0.08000
,,,-2.94680000000,0.92000,-0.08000
,,,-2.94660000000,0.96000,-0.04000
,,,-2.94640000000,0.96000,-0.08000
,,,-2.94620000000,0.92000,-0.08000
,,,-2.94599975000,0.96000,-0.04000
,,,-2.94579975000,0.96000,-0.08000
,,,-2.94560000000,0.92000,-0.08000
,,,-2.94540000000,0.96000,-0.08000
,,,-2.94520000000,0.96000,-0.08000
,,,-2.94500000000,0.96000,-0.08000
